file,start_datetime,stop_datetime,region_id,genotype,replicate
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,1,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,2,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,3,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,4,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,5,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,6,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,7,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,8,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,9,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,10,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,11,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,12,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,13,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,14,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,15,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,16,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,17,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,18,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,19,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,20,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,21,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,22,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,23,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,24,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,25,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,26,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,27,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,28,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,29,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,30,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,31,Control,1
Control_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,32,Control,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,1,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,2,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,3,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,4,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,5,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,6,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,7,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,8,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,9,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,10,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,11,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,12,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,13,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,14,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,15,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,16,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,17,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,18,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,19,Long_1,1
Long_1_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,20,Long_1,1
